publishedAt,authorDisplayName,textDisplay,like_count,likeCount
2024-04-27T12:47:31Z,@daviqrizal6455,Selamat pak Prabowo semoga indonesia tambah  maju adil makmur aman sentosa di pimpin pak Prabowo dan mas gibran semoga Allah meridhoi dan melindunginya dan pemimpin yg amanah ihklas untuk rakyat ,0.0,
2024-04-27T11:00:54Z,@annisaadistiani4157,"MasyaAllah alhamdulillah bapak akhirnya bapak menang 
bismillah semoga lancar ya mimpin negara ini sehat sehat pak dan mas gibran",0.0,
2024-04-27T03:50:39Z,@IyaLuu-tb1bh,Sehatkan lah selalu bapak Prabowo Subianto & Gibran 🤲,0.0,
2024-04-26T13:29:20Z,@user-nx4it6xd8o,Pengen nangis Prabowo pehlawan perjuangan,0.0,
2024-04-26T12:46:04Z,@user-sb1yy5oh8p,Anis ganjar menangis di selokan😅😅😅,0.0,
2024-04-26T07:10:49Z,@SarahSetiadarmaa,"Alhamdulillah pak Prabowo Gibran  menjadi pemimpin negri ini, semoga beliau bisa menjalankan amanah sebaik²nya",0.0,
2024-04-26T06:44:07Z,@haerudinmuhammadsyafei3019,"Tunggu...... Tunggu...... 1 tahun kedepan ada apa dengan Prabowo - Gibran,....... Nanti bisa dilihat..... Terpilihnya oleh siapa.......",0.0,
2024-04-26T05:40:15Z,@Brotoseno1922,Saatnya kembali pada habitat masing2.. yg kemaren gembar- gembor di bayar... Saiki podo bali dadi kuli... Wwkkkkkk,0.0,
2024-04-26T03:44:02Z,@biofloklinggauchannel,Alhamdulillah,0.0,
2024-04-26T00:18:20Z,@sukernosilva-ui2mr,"Ketua KPU taun depan harus di gantii yang lebih bagus,biar tidak terjadi kesalahan kesalahan fatalll yang menyita waktu",0.0,
2024-04-25T22:12:41Z,@RYNM011,mana anak abah dan ganjar dengar tuh yah yg di bilang tidak ada suara duhh jangan nangis yah 01-03🤣,0.0,
2024-04-25T19:14:28Z,@duse3419,Lihat pak Prabowo jadi inget pak Soeharto 🥲,0.0,
2024-04-25T13:45:04Z,@Rhusdiie,Yg bilang curang kaga terbukti curang 😂😂😂😂 berusaha melawan takdir.. Tidak menerima kekalahan,0.0,
2024-04-25T13:41:05Z,@cintakusatu3871,"Pak Prabowo sama mas Gibran pilihan Masyarakat dari sabang sampai meraoke,  dan sudah di Ridhoi Allah SWT Aamiin ",0.0,
2024-04-25T13:12:34Z,@fuad1686,ada yg berharap jadi mentri kek nya  setelah mejatuhkan menjelek2kan memfitnah lagi ,0.0,
2024-04-25T12:42:13Z,@cteamrecingspeed6865,Anak abah menangis,0.0,
2024-04-25T12:24:14Z,@taufikwfinance3630,Rambut putih afk,0.0,
2024-04-25T07:24:14Z,@husnulhatimah2536,menyala presidenkuuu Prabowo-Gibran .. semoga amanah,0.0,
2024-04-25T05:37:53Z,@escampurchanel807,"pilihan gw menang ,makasih yaaaa Allah",0.0,
2024-04-25T05:09:12Z,@CherryKopi-qr6bb,Alhamdulillah  bapak  dan wakil menang👍👍👍,0.0,
2024-04-25T01:52:36Z,@purniatipurniati8481,"Jangan lupa janji2 nya,",0.0,
